Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2022-09-30;134;2.0;24909271;46715094.929;10520819;488018;1.9591821856207674;19153.380454694547;22.52124075952341
2022-10-31;135;2.0;28195569;49659357.024;11850088;359130;1.2737107734906856;20360.53998523985;23.862749560516743
2022-11-30;136;2.0;28220200;49993305.66500001;11887017;234421;0.8306851120828342;20497.460297252976;23.777217453179986
2022-12-31;137;2.0;27325977;48807615.386;10211534;458104;1.676441431536007;20011.322421484216;20.922009647963833
2023-01-31;138;2.0;24930732;44442530.747;8049694;381308;1.5294697323768913;18221.619822468227;18.112591395446977
2023-02-28;139;2.0;24012188;42853490.25;6686882;223456;0.9305940799730538;17570.106703567035;15.604054561226782
2023-03-31;140;2.0;23169603;41169438.018;8098272;168681;0.7280271483287823;16879.63838376384;19.67059155983449
2023-04-30;141;2.0;24302066;43794402.416;8290449;144382;0.5941140971306719;17955.884549405495;18.93038503242857
2023-05-31;142;2.0;22759253;43198840.898;9187191;247198;1.08614285363408;17711.701885198854;21.26721645539648
2023-06-30;143;2.0;21278650;44682303.358;10630476;380218;1.7868520794317309;18319.92757605576;23.791244410180347
2023-07-31;144;2.0;21591421;48053065.600999996;11194191;244334;1.1316253802841414;19701.953915949158;23.295477322818392
2023-08-31;145;2.0;21197329;48472032.742;12045573;412649;1.9467028133591735;19873.732161541615;24.850562929998112
2023-10-31;146;2.0;22491775;44498505.554;9695583;337051;1.49855224854419;18244.569722837226;21.788558692682788
2023-11-30;147;2.0;22862983;45401461.158;9084889;277408;1.2133499814962903;18614.785222632225;20.010124714673836
2023-12-31;148;2.0;21969673;44229039.216;8056377;378680;1.723648777111976;18134.087419434192;18.215130020472113
2024-01-31;149;2.0;19978727;39712093.211;6666180;282066;1.4118316947821552;16282.121037720379;16.78627204207284
2024-02-29;150;2.0;18342073;36180043.812;6075111;194286;1.0592368703363026;14833.966302583025;16.79133124207285
2024-03-31;151;2.0;16934336;29904738.762;4703872;301046;1.7777254449185371;12261.06550307503;15.72952045305013
2024-04-30;152;2.0;19382206;32765814.165;5252539;147054;0.7587062071262682;13434.118148831489;16.03054626858835
2024-05-31;153;2.0;19928724;36763888.853;7828642;111629;0.5601412313201788;15073.345163181632;21.29437946921975
2024-06-30;154;2.0;24950560;44053193.786;9923147;138001;0.5530978062215838;18061.990072160723;22.52537477351654
2024-07-31;155;2.0;24408597;48462896.231;13136689;204671;0.8385201328859664;19869.986154571547;27.106694031210054
2024-08-31;156;2.0;24465836;47678416.926;13796769;375233;1.5337019344035494;19548.346423124232;28.937137366396797
2024-09-30;157;2.0;28349620;50106262.188;13614440;273529;0.9648418567867929;20543.77293480935;27.17113471549378
2024-10-31;158;2.0;27085173;54808822.833000004;15032758;195495;0.7217786646590738;22471.842079950802;27.427624281959368
2024-11-30;159;2.0;27902650;57808874.304;12218959;263219;0.9433476748624235;23701.875483394833;21.13682223899407
2024-12-31;160;2.0;27229260;58415539.32;12094063;228772;0.8401697291810353;23950.610627306272;20.703503110274802
2025-01-31;161;2.0;25221068;57717244.878;10184185;430562;1.7071521317019567;23664.30704305043;17.644960395332195
2025-02-28;162;2.0;23236949;54880393.396;7909361;405671;1.7458014819415404;22501.18630422304;14.41199763807903
2017-10-31;163;3.0;52196104;95367238.03;21798300;856500;1.6409270699590912;16787.05122865693;22.857220624490388
2017-11-30;164;3.0;50419346;99644999.843;20353566;721434;1.4308674293395238;17540.04573895441;20.426078611138486
2017-12-31;165;3.0;46887704;99115380.911;17163942;617634;1.3172621973556222;17446.819382327056;17.317132661188325
2018-01-31;166;3.0;44311636;97239721.185;13352369;707053;1.5956373174757077;17116.655726984685;13.731393752761715
2018-02-28;167;3.0;41542001;93439788.675;10288999;415160;0.9993741033321915;16447.771285865165;11.011368011315763
2018-03-31;168;3.0;46124525;88607480.766;8930524;602552;1.3063592524801069;15597.162606231297;10.078747215017057
2018-04-30;169;3.0;51139735;82543070.057;10299887;875116;1.711225136383675;14529.672602886814;12.478197131373268
2018-05-31;170;3.0;51869074;89832441.45300001;16857574;636851;1.2278048380042412;15812.786737018132;18.765574804977128
2018-06-30;171;3.0;48993182;84742321.268;16513638;792951;1.6184925486162545;14916.79656187291;19.486884183612517
2018-07-31;172;3.0;48330591;81141554.698;18202766;861350;1.782204566875667;14282.970374581939;22.433346351014233
2018-08-31;173;3.0;49944993;85095420.799;24298248;816055;1.6339075270267833;14978.951029572258;28.554119330808387
2018-09-30;174;3.0;54014333;94383458.934;25916933;546341;1.0114741211374396;16613.881171272664;27.459189663861615
2018-10-31;175;3.0;54023055;100692739.884;25882559;491710;0.9101854754419202;17724.474543918324;25.704493720021137
2018-11-30;176;3.0;50131899;102130290.20699999;22386184;556289;1.1096507634789576;17977.519839288856;21.91924056479931
2018-12-31;177;3.0;45936268;99849769.508;17477005;670495;1.4596200980018663;17576.090390424222;17.503300294148136
2019-01-31;178;3.0;41966473;94220820.234;12961781;890035;2.1208239253272487;16585.252637563808;13.7568118891441
2019-02-28;179;3.0;39440356;90953763.229;10305001;706495;1.7912997539880218;16010.167792466116;11.329933621387882
2019-03-31;180;3.0;42892525;87567313.33099999;11347323;683837;1.5943034363213637;15414.066771871147;12.95840030755277
2019-04-30;181;3.0;48505386;84045189.059;12639598;738422;1.5223505282485537;14794.083622425629;15.039049993839576
2019-05-31;182;3.0;49431630;86989741.444;15651040;604152;1.2221972045024614;15312.399479669073;17.991822645059152
2019-06-30;183;3.0;47533556;88045082.709;19005317;633210;1.3321326096452788;15498.166292730155;21.58589260778475
2019-07-31;184;3.0;45045500;79426676.991;18785735;810145;1.7985037351122755;13981.108430029924;23.651669327836352
2019-08-31;185;3.0;44710740;78332941.267;19848152;779168;1.7426864328347058;13788.583218975533;25.338193203223437
2019-09-30;186;3.0;46633747;83802786.06799999;20766117;579411;1.2424714659965026;14751.414551663438;24.779745369264663
2019-10-31;187;3.0;51060186;91470009.37;22418670;568625;1.1136367580016258;16101.040198908644;24.509312018670016
2019-11-30;188;3.0;50705731;100173499.732;20876380;757729;1.4943655974509074;17633.07511564865;20.840222270212976
2019-12-31;189;3.0;46659011;97371729.826;19317911;742697;1.5917546987869076;17139.892593909524;19.839342522229455
2020-01-31;190;3.0;43675395;91482748.429;13785279;763592;1.748334502756071;16103.282596197854;15.06871977146466
2020-02-29;191;3.0;40891138;88942197.332;11784480;465689;1.1388506722410123;15656.081206125682;13.249593953712823
2020-03-31;192;3.0;49995472;90088249.90799999;12610096;600891;1.2018908432347633;15857.815509241329;13.997492473078003
2020-04-30;193;3.0;54489570;90119344.581;14425231;690721;1.2676205739924173;15863.28895986622;16.00680860149231
2020-05-31;194;3.0;52473671;87686424.762;17931576;507150;0.966484696677692;15435.03340292202;20.449660307932717
2020-06-30;195;3.0;50656465;86109872.016;19475743;680269;1.342906576682759;15157.520157718713;22.617317322665663
2020-07-31;196;3.0;48759700;86683380.991;21245718;561646;1.1518651673410623;15258.472274423517;24.509563144757657
2020-08-31;197;3.0;49739555;95782152.699;25079761;620063;1.2466195163989706;16860.08672751276;26.184169277145347
2020-09-30;198;3.0;49723128;102632298.754;28173014;470910;0.947064311802749;18065.886068297834;27.450436501990545
